Date,First Lesson,Second Lesson
03/04/2024,Romans 6:1-14,
04/04/2024,Amos 8:1-10,
05/04/2024,Amos 8:10-14,
07/04/2024,Micah 1:1-16,Acts 17:1-14
10/04/2024,Philippians 3:15-21,
12/04/2024,1 Thessalonians 2:13-16,
14/04/2024,Joshua 11:1-15,2 Corinthians 2:1-17
17/04/2024,1 Chronicles 17:15-27,
19/04/2024,1 Thessalonians 1:4-10,
21/04/2024,Isaiah 50:1-11,Colossians 1:12-23
24/04/2024,1 Chronicles 16:7-22,
26/04/2024,1 Chronicles 16:23-33,
28/04/2024,Leviticus 3:1-17,1 Corinthians 16:1-14
